city,alpha,beta,w,tour_len,seconds
AISearchfile012.txt,2.0,1.2,0.9,56,0.63
AISearchfile012.txt,2.0,1.4,0.5,56,0.29
AISearchfile012.txt,2.0,1.4,0.7,56,0.38
AISearchfile012.txt,2.0,1.4,0.9,78,0.65
AISearchfile012.txt,2.0,1.6,0.5,56,0.27
AISearchfile012.txt,2.0,1.6,0.7,90,0.45
AISearchfile012.txt,2.0,1.6,0.9,79,0.73
AISearchfile012.txt,2.0,1.8,0.5,56,0.31
AISearchfile012.txt,2.0,1.8,0.7,82,0.46
AISearchfile012.txt,2.0,1.8,0.9,82,0.74
AISearchfile012.txt,2.0,2.0,0.5,56,0.35
AISearchfile012.txt,2.0,2.0,0.7,56,0.43
AISearchfile012.txt,2.0,2.0,0.9,67,0.68
AISearchfile017.txt,1.0,1.0,0.5,1779,0.29
AISearchfile017.txt,1.0,1.0,0.7,2105,0.44
AISearchfile017.txt,1.0,1.0,0.9,2250,0.77
AISearchfile017.txt,1.0,1.2,0.5,1883,0.3
AISearchfile017.txt,1.0,1.2,0.7,2209,0.54
AISearchfile017.txt,1.0,1.2,0.9,2516,0.81
AISearchfile017.txt,1.0,1.4,0.5,1806,0.35
AISearchfile017.txt,1.0,1.4,0.7,2202,0.54
AISearchfile017.txt,1.0,1.4,0.9,2465,0.84
AISearchfile017.txt,1.0,1.6,0.5,1651,0.37
AISearchfile017.txt,1.0,1.6,0.7,2035,0.55
AISearchfile017.txt,1.0,1.6,0.9,2141,0.87
AISearchfile017.txt,1.0,1.8,0.5,1953,0.46
AISearchfile017.txt,1.0,1.8,0.7,2202,0.62
AISearchfile017.txt,1.0,1.8,0.9,2456,0.91
AISearchfile017.txt,1.0,2.0,0.5,1666,0.4
AISearchfile017.txt,1.0,2.0,0.7,2521,0.6
AISearchfile017.txt,1.0,2.0,0.9,2393,0.94
AISearchfile017.txt,1.2,1.0,0.5,1818,0.33
AISearchfile017.txt,1.2,1.0,0.7,2193,0.52
AISearchfile017.txt,1.2,1.0,0.9,2440,0.79
AISearchfile017.txt,1.2,1.2,0.5,1975,0.35
AISearchfile017.txt,1.2,1.2,0.7,2382,0.56
AISearchfile017.txt,1.2,1.2,0.9,2329,0.8
AISearchfile017.txt,1.2,1.4,0.5,1834,0.38
AISearchfile017.txt,1.2,1.4,0.7,2600,0.57
AISearchfile017.txt,1.2,1.4,0.9,2479,0.86
AISearchfile017.txt,1.2,1.6,0.5,1996,0.44
AISearchfile017.txt,1.2,1.6,0.7,2279,0.59
AISearchfile017.txt,1.2,1.6,0.9,2478,0.91
AISearchfile017.txt,1.2,1.8,0.5,2224,0.5
AISearchfile017.txt,1.2,1.8,0.7,2397,0.6
AISearchfile017.txt,1.2,1.8,0.9,2525,0.94
AISearchfile017.txt,1.2,2.0,0.5,2384,0.49
AISearchfile017.txt,1.2,2.0,0.7,2395,0.61
AISearchfile017.txt,1.2,2.0,0.9,2455,0.97
AISearchfile017.txt,1.4,1.0,0.5,1953,0.35
AISearchfile017.txt,1.4,1.0,0.7,2313,0.54
AISearchfile017.txt,1.4,1.0,0.9,2439,0.84
AISearchfile017.txt,1.4,1.2,0.5,2022,0.37
AISearchfile017.txt,1.4,1.2,0.7,2325,0.56
AISearchfile017.txt,1.4,1.2,0.9,2452,0.87
AISearchfile017.txt,1.4,1.4,0.5,2211,0.42
AISearchfile017.txt,1.4,1.4,0.7,2301,0.57
AISearchfile017.txt,1.4,1.4,0.9,2429,0.91
AISearchfile017.txt,1.4,1.6,0.5,1910,0.45
AISearchfile017.txt,1.4,1.6,0.7,2418,0.59
AISearchfile017.txt,1.4,1.6,0.9,2117,0.88
AISearchfile017.txt,1.4,1.8,0.5,2207,0.5
AISearchfile017.txt,1.4,1.8,0.7,2338,0.62
